batter,total_runs,bowler,total_wickets,player_of_match,potm_awards
A Ashish Reddy,280.0,A Ashish Reddy,18.0,,0.0
A Badoni,1076.0,A Badoni,4.0,,0.0
A Chandila,4.0,A Chandila,11.0,A Chandila,1.0
A Chopra,53.0,,0.0,,0.0
A Choudhary,25.0,A Choudhary,5.0,,0.0
A Dananjaya,4.0,A Dananjaya,0.0,,0.0
A Flintoff,62.0,A Flintoff,2.0,,0.0
A Kamboj,42.0,A Kamboj,20.0,,0.0
A Kumble,35.0,A Kumble,45.0,A Kumble,3.0
A Manohar,292.0,,0.0,A Manohar,1.0
A Mhatre,411.0,,0.0,,0.0
A Mishra,381.0,A Mishra,174.0,A Mishra,12.0
A Mithun,34.0,A Mithun,7.0,,0.0
A Mukund,19.0,,0.0,,0.0
A Nehra,41.0,A Nehra,106.0,A Nehra,6.0
A Nortje,49.0,A Nortje,61.0,A Nortje,3.0
A Raghuvanshi,645.0,,0.0,,0.0
A Singh,2.0,A Singh,28.0,A Singh,1.0
A Symonds,974.0,A Symonds,20.0,A Symonds,3.0
A Tomar,4.0,,0.0,,0.0
A Uniyal,4.0,A Uniyal,2.0,,0.0
A Zampa,15.0,A Zampa,31.0,A Zampa,1.0
AA Bilakhia,69.0,,0.0,,0.0
AA Chavan,12.0,AA Chavan,8.0,,0.0
AA Jhunjhunwala,217.0,AA Jhunjhunwala,1.0,AA Jhunjhunwala,1.0
AA Kulkarni,9.0,,0.0,,0.0
AA Noffke,9.0,AA Noffke,1.0,,0.0
AB Agarkar,179.0,AB Agarkar,29.0,,0.0
AB Barath,42.0,,0.0,,0.0
AB Dinda,26.0,AB Dinda,69.0,AB Dinda,2.0
AB McDonald,123.0,AB McDonald,11.0,,0.0
AB de Villiers,5181.0,,0.0,AB de Villiers,25.0
AC Blizzard,120.0,,0.0,,0.0
AC Gilchrist,2069.0,AC Gilchrist,1.0,AC Gilchrist,7.0
AC Thomas,20.0,AC Thomas,14.0,,0.0
AC Voges,181.0,AC Voges,0.0,AC Voges,1.0
