batter,last_5_match_runs,last_5_match_balls,recent_strike_rate
A Ashish Reddy,70,50,140.0
A Badoni,113,81,139.51
A Chandila,4,6,66.67
A Chopra,18,29,62.07
A Choudhary,10,8,125.0
A Dananjaya,4,5,80.0
A Flintoff,62,53,116.98
A Kamboj,35,27,129.63
A Kumble,11,13,84.62
A Manohar,61,61,100.0
A Mhatre,171,100,171.0
A Mishra,40,54,74.07
A Mithun,29,22,131.82
A Mukund,19,22,86.36
A Nehra,2,8,25.0
A Nortje,7,16,43.75
A Raghuvanshi,182,117,155.56
A Singh,2,10,20.0
A Symonds,64,68,94.12
A Tomar,4,8,50.0
A Uniyal,4,7,57.14
A Zampa,10,16,62.5
AA Chavan,11,8,137.5
AA Jhunjhunwala,55,59,93.22
AA Kulkarni,9,8,112.5
AA Noffke,9,10,90.0
AB Agarkar,34,33,103.03
AB Barath,35,32,109.38
AB Dinda,4,18,22.22
AB McDonald,55,44,125.0
AB de Villiers,64,53,120.75
AC Blizzard,113,77,146.75
AC Gilchrist,164,118,138.98
AC Voges,99,97,102.06
AD Hales,103,79,130.38
AD Mascarenhas,26,26,100.0
AD Mathews,61,57,107.02
AD Nath,61,57,107.02
AD Russell,133,71,187.32
AF Milne,16,18,88.89
AG Murtaza,2,5,40.0
AG Paunikar,29,39,74.36
AJ Finch,86,61,140.98
AJ Hosein,16,10,160.0
AJ Turner,24,27,88.89
AJ Tye,20,23,86.96
AK Markram,120,79,151.9
AL Menaria,64,58,110.34
AM Nayar,52,55,94.55
AM Rahane,152,102,149.02
AN Ahmed,32,19,168.42
AN Ghosh,7,8,87.5
AP Dole,30,18,166.67
AP Tare,32,36,88.89
AR Bawne,12,12,100.0
AR Patel,34,29,117.24
AS Joseph,27,32,84.38
AS Rajpoot,20,28,71.43
AS Raut,62,62,100.0
AS Roy,10,13,76.92
AT Carey,32,29,110.34
AT Rayudu,75,52,144.23
AU Rashid,22,16,137.5
AUK Pathan,23,15,153.33
Abdul Basith,1,1,100.0
Abdul Samad,72,65,110.77
Abdur Razzak,0,2,0.0
Abhishek Sharma,129,60,215.0
Abishek Porel,76,51,149.02
Akash Deep,25,14,178.57
Akash Madhwal,8,14,57.14
Aman Hakim Khan,80,76,105.26
Aniket Verma,70,41,170.73
Ankit Sharma,41,36,113.89
Anmolpreet Singh,79,62,127.42
Anuj Rawat,98,77,127.27
Anureet Singh,26,23,113.04
Arjun Tendulkar,13,9,144.44
Arshad Khan,23,20,115.0
Arshad Khan (2),5,4,125.0
Arshdeep Singh,10,14,71.43
Ashok Sharma,0,1,0.0
Ashutosh Sharma,87,61,142.62
Atharva Taide,148,102,145.1
Auqib Nabi,4,2,200.0
Avesh Khan,25,17,147.06
Azhar Mahmood,158,112,141.07
Azmatullah Omarzai,57,41,139.02
B Akhil,26,25,104.0
B Chipli,10,21,47.62
B Indrajith,21,30,70.0
B Kumar,22,28,78.57
B Laughlin,5,13,38.46
B Lee,63,32,196.88
B Sai Sudharsan,193,125,154.4
B Stanlake,5,2,250.0
BA Bhatt,6,2,300.0
BA Stokes,163,112,145.54
BAW Mendis,1,2,50.0
BB McCullum,84,61,137.7
BB Samantray,76,62,122.58
BB Sran,8,12,66.67
BCJ Cutting,59,44,134.09
BE Hendricks,1,3,33.33
BJ Haddin,18,11,163.64
BJ Hodge,120,92,130.43
BJ Rohrer,159,104,152.88
BKG Mendis,20,10,200.0
BMAJ Mendis,23,27,85.19
BR Dunk,40,35,114.29
BR Sharath,2,5,40.0
Basil Thampi,4,7,57.14
Bipul Sharma,43,28,153.57
C Bosch,58,36,161.11
C Connolly,136,90,151.11
C Green,56,39,143.59
C Madan,15,19,78.95
C Munro,84,71,118.31
C Nanda,0,1,0.0
C Sakariya,14,19,73.68
C de Grandhomme,48,52,92.31
CA Ingram,46,49,93.88
CA Lynn,190,118,161.02
CA Pujara,112,114,98.25
CH Gayle,74,55,134.55
CH Morris,29,27,107.41
CJ Anderson,30,39,76.92
CJ Jordan,19,23,82.61
CJ McKay,8,15,53.33
CK Kapugedera,16,23,69.57
CK Langeveldt,8,9,88.89
CL White,86,64,134.38
CM Gautam,52,53,98.11
CR Brathwaite,83,54,153.7
CR Woakes,32,30,106.67
CRD Fernando,4,3,133.33
CV Varun,3,12,25.0
D Brevis,192,103,186.41
D Ferreira,79,61,129.51
D Padikkal,152,88,172.73
D Pretorius,44,28,157.14
D Salunkhe,32,23,139.13
D Wiese,38,22,172.73
D du Preez,10,13,76.92
DA Miller,114,76,150.0
DA Payne,6,5,120.0
DA Warner,38,35,108.57
DAJ Bracewell,12,9,133.33
DB Das,67,68,98.53
DB Ravi Teja,10,13,76.92
DE Bollinger,19,20,95.0
DG Nalkande,12,12,100.0
DH Yagnik,55,47,117.02
DJ Bravo,22,23,95.65
DJ Hooda,31,41,75.61
DJ Hussey,129,108,119.44
DJ Jacobs,48,57,84.21
DJ Malan,26,26,100.0
DJ Mitchell,120,73,164.38
DJ Muthuswami,1,3,33.33
DJ Thornely,31,35,88.57
DJ Willey,53,62,85.48
DJG Sammy,52,44,118.18
DJM Short,105,92,114.13
DL Chahar,43,30,143.33
DL Vettori,28,22,127.27
DP Conway,143,105,136.19
DP Nannes,3,11,27.27
DPMD Jayawardene,73,68,107.35
DR Martyn,19,24,79.17
