bowler,last_5_match_wickets,recent_runs_conceded,recent_economy
A Ashish Reddy,3,78,8.83
A Badoni,2,38,9.91
A Chandila,4,113,6.28
A Choudhary,5,123,8.29
A Dananjaya,0,47,11.75
A Flintoff,2,105,9.55
A Kamboj,10,189,10.12
A Kumble,4,146,7.3
A Mishra,5,113,8.69
A Mithun,3,152,10.13
A Nehra,7,200,10.62
A Nel,1,31,10.33
A Nortje,2,201,11.82
A Singh,5,170,10.1
A Symonds,1,34,11.33
A Uniyal,2,66,11.0
A Zampa,5,185,9.74
AA Chavan,2,124,7.75
AA Jhunjhunwala,0,53,10.26
AA Kazi,0,21,10.5
AA Noffke,1,40,10.0
AB Agarkar,0,125,8.93
AB Dinda,2,175,11.67
AB McDonald,6,101,7.21
AC Gilchrist,1,0,0.0
AC Voges,0,62,10.33
AD Mascarenhas,5,147,7.35
AD Mathews,2,135,8.44
AD Russell,2,116,10.88
AF Milne,3,150,9.09
AG Murtaza,3,107,5.35
AJ Finch,0,18,5.68
AJ Hosein,2,86,8.6
AJ Tye,3,194,10.78
AK Markram,3,90,10.38
AL Menaria,1,51,8.05
AM Ghazanfar,4,103,10.3
AM Nayar,1,74,10.57
AM Rahane,1,5,5.0
AM Salvi,5,157,8.26
AN Ahmed,2,183,9.98
AP Dole,3,70,10.0
AR Patel,3,145,8.53
AS Joseph,1,172,11.73
AS Rajpoot,1,160,12.31
AS Raut,0,24,8.0
AS Roy,5,111,7.84
AU Rashid,2,91,9.1
AUK Pathan,0,44,9.78
Abdul Samad,1,57,16.29
Abdur Razzak,0,29,14.5
Abhinandan Singh,3,122,12.62
Abhishek Sharma,0,70,12.0
Akash Deep,2,183,12.2
Akash Madhwal,5,212,11.67
Akash Singh,4,166,10.27
Aman Hakim Khan,0,13,13.0
Anand Rajan,2,42,5.25
Ankit Sharma,3,125,8.33
Anureet Singh,1,96,10.67
Arjun Tendulkar,3,114,9.37
Arshad Khan,4,149,10.64
Arshad Khan (2),0,24,12.0
Arshdeep Singh,5,171,9.5
Ashok Sharma,4,145,10.36
Ashwani Kumar,6,169,11.66
Atharva Taide,0,4,24.0
Auqib Nabi,0,17,8.5
Avesh Khan,6,159,9.35
Azhar Mahmood,7,156,8.21
Azmatullah Omarzai,5,178,10.47
B Akhil,2,66,8.25
B Geeves,1,91,11.38
B Kumar,7,174,8.7
B Laughlin,7,171,10.16
B Lee,4,172,8.6
B Muzarabani,4,75,10.71
B Stanlake,5,171,8.55
BA Bhatt,1,112,8.0
BA Stokes,2,113,10.27
BAW Mendis,3,164,8.2
BB Sran,2,171,12.21
BCJ Cutting,2,113,10.27
BE Hendricks,5,166,9.76
BJ Hodge,1,38,7.6
BJ Rohrer,0,12,12.0
BMAJ Mendis,1,36,7.2
BW Hilfenhaus,4,166,9.22
Basil Thampi,5,152,9.5
Bipul Sharma,2,53,8.37
Brijesh Sharma,3,54,7.71
C Bosch,2,94,9.25
C Ganapathy,0,13,13.0
C Green,4,123,8.79
C Munro,0,15,7.5
C Nanda,2,57,7.12
C Sakariya,5,195,10.26
C de Grandhomme,0,112,12.44
CH Gayle,2,80,7.38
CH Morris,4,181,9.53
CJ Anderson,4,182,12.41
CJ Dala,0,34,11.33
CJ Green,0,24,8.47
CJ Jordan,2,189,10.5
CJ McKay,1,60,8.57
CK Kapugedera,0,49,17.29
CK Langeveldt,8,146,8.11
CL White,1,57,19.0
CR Brathwaite,3,102,9.71
CR Woakes,6,153,8.5
CRD Fernando,7,138,7.26
CV Varun,2,177,11.06
D Brevis,1,8,16.0
D Jansen,1,53,13.25
D Pretorius,2,177,10.41
D Salunkhe,1,69,10.1
D Wiese,3,188,9.89
D du Preez,4,56,8.0
DA Payne,2,70,14.0
DA Warner,0,2,12.0
DAJ Bracewell,3,32,8.0
DE Bollinger,6,135,8.53
DG Nalkande,4,111,10.09
DJ Bravo,9,141,8.46
DJ Hooda,0,57,9.5
DJ Hussey,2,129,9.33
DJ Mitchell,1,97,12.12
DJ Muthuswami,3,83,7.55
DJ Thornely,3,32,5.33
DJ Willey,3,113,6.65
DJG Sammy,0,62,10.33
DJM Short,1,19,6.33
DL Chahar,2,137,10.96
DL Vettori,2,122,6.1
DP Nannes,5,116,6.89
DR Sams,6,129,6.79
DR Smith,4,87,8.7
DS Kulkarni,2,189,10.5
DS Rathi,3,189,9.45
DT Christian,4,104,9.75
DW Steyn,5,202,10.27
E Malinga,5,156,10.4
FA Allen,2,136,9.07
FY Fazal,0,20,10.0
Fazalhaq Farooqi,0,210,12.35
G Coetzee,2,155,11.07
GB Hogg,3,153,8.5
GC Viljoen,6,186,9.79
GD McGrath,3,132,7.33
GD Phillips,2,40,8.0
GF Linde,0,37,8.88
GH Vihari,0,42,7.0
GHS Garton,3,135,9.0
GJ Maxwell,3,84,7.64
GR Napier,1,27,6.75
GS Sandhu,1,82,10.25
Gagandeep Singh,1,71,10.14
Gulbadin Naib,0,12,12.0
Gurjapneet Singh,1,62,12.0
Gurkeerat Singh,3,74,7.4
Gurnoor Brar,0,42,14.0
H Sharma,0,57,11.4
HF Gurney,4,156,9.18
HH Pandya,3,153,10.93
HR Shokeen,2,108,9.0
HV Patel,1,154,11.41
Harbhajan Singh,2,121,8.07
Harmeet Singh,5,155,8.45
Harpreet Brar,7,138,8.62
Harsh Dubey,5,130,8.67
Harshit Rana,4,200,11.76
I Sharma,3,161,11.23
I Udana,4,151,10.07
IC Pandey,7,112,7.47
IC Porel,1,39,9.75
IK Pathan,1,116,9.67
IS Sodhi,6,134,6.99
Imran Tahir,5,115,6.39
Iqbal Abdulla,3,101,8.42
Ishan Kishan,0,4,24.0
J Botha,1,104,8.67
J Little,6,152,9.5
J Overton,5,135,10.38
J Suchith,7,140,7.78
J Syed Mohammad,3,129,9.21
J Theron,4,153,9.56
J Yadav,1,131,7.71
JA Duffy,6,138,11.5
JA Morkel,3,129,9.21
JA Richardson,3,157,10.47
JC Archer,7,144,8.47
JD Ryder,2,86,6.14
JD Unadkat,7,164,9.74
JDP Oram,2,70,8.24
JDS Neesham,6,112,8.0
JE Root,0,14,7.0
JEC Franklin,3,53,8.83
JH Kallis,2,122,9.38
JJ Bumrah,0,164,8.63
JJ van der Wath,2,99,12.38
JL Pattinson,6,176,10.06
JM Kemp,3,39,7.55
JO Holder,1,211,11.41
JP Behrendorff,3,152,8.44
JP Duminy,1,80,10.0
JP Faulkner,4,186,9.3
JPR Scantlebury-Searles,2,89,12.71
JR Hazlewood,9,175,9.13
JR Hopes,3,138,8.12
JW Hastings,3,66,6.83
Jalaj S Saxena,0,27,9.0
Joginder Sharma,2,131,10.92
K Goel,0,68,7.56
K Gowtham,3,104,8.0
K Kartikeya,2,93,9.3
K Khejroliya,4,139,11.27
K Rabada,4,207,10.89
K Santokie,3,90,11.25
K Yadav,2,84,9.33
KA Jamieson,5,169,9.94
KA Maharaj,2,39,6.5
KA Pollard,3,79,7.9
KC Cariappa,2,192,12.0
KH Pandya,7,156,9.18
KJ Abbott,1,114,12.67
KK Ahmed,2,146,8.67
KK Cooper,4,134,7.44
KL Nagarkoti,0,141,10.85
KM Asif,4,156,9.65
KMA Paul,6,150,8.74
KMDN Kulasekara,2,46,5.75
KP Appanna,6,119,7.93
KP Pietersen,2,57,6.33
KR Mayers,0,52,8.67
KR Sen,6,150,10.0
KS Williamson,0,31,10.33
KT Maphaka,2,143,13.0
KV Sharma,7,128,8.53
KW Richardson,6,170,9.44
Kamran Khan,4,123,9.71
Karanveer Singh,5,211,11.72
Karim Janat,0,30,30.0
Kartik Tyagi,5,208,10.95
Kuldeep Yadav,5,167,9.82
L Ablish,3,75,10.71
L Balaji,5,176,9.26
L Ngidi,6,177,9.0
L Wood,1,93,15.5
LA Carseldine,1,6,6.0
LB Williams,1,72,12.0
LE Plunkett,1,184,10.82
LH Ferguson,7,141,9.2
LI Meriwala,1,32,10.67
LMP Simmons,1,34,11.33
LR Shukla,1,83,8.89
LRPL Taylor,0,24,12.0
LS Livingstone,2,76,8.44
Lalit Yadav,2,151,12.58
M Ashwin,4,150,9.38
M Jansen,4,174,8.7
M Kartik,4,153,8.05
M Markande,3,144,14.4
M Morkel,7,133,7.39
M Muralitharan,3,124,7.75
M Ntini,6,135,6.75
M Pathirana,6,171,9.96
M Prasidh Krishna,12,205,10.25
M Shahrukh Khan,1,28,9.33
M Siddharth,4,159,8.37
M Theekshana,5,195,9.75
M Tiwari,0,14,14.0
M Vijay,0,49,8.17
M de Lange,2,135,9.64
MA Khote,2,51,10.2
MA Starc,4,171,10.47
MA Wood,11,179,8.95
MC Henriques,4,45,4.5
MF Maharoof,5,137,8.56
MG Bracewell,6,95,8.64
MG Johnson,1,186,10.94
MG Neser,0,62,15.5
MJ Henry,2,186,12.4
MJ McClenaghan,3,142,7.89
MJ Santner,5,131,9.36
MJ Suthar,0,26,13.0
MK Lomror,0,53,10.6
MK Tiwary,1,72,12.0
MM Ali,6,136,8.5
MM Patel,4,154,8.11
MM Sharma,1,163,10.87
MP Stoinis,1,82,14.91
MP Yadav,6,158,9.77
MR Marsh,4,142,11.83
MS Gony,3,182,11.38
MW Short,0,26,6.24
Mandeep Singh,0,26,13.0
Mayank Dagar,1,120,10.14
Mohammad Asif,4,187,9.35
Mohammad Hafeez,1,60,10.0
Mohammad Nabi,2,92,8.9
Mohammed Shami,4,130,6.84
Mohammed Siraj,4,171,9.5
Mohit Rathee,0,29,14.5
Mohsin Khan,4,157,8.72
Monu Kumar,0,20,10.0
Mujeeb Ur Rahman,3,206,11.44
Mukesh Choudhary,1,167,11.93
Mukesh Kumar,5,184,10.22
Musheer Khan,1,27,13.5
Mustafizur Rahman,6,128,7.18
N Burger,5,139,8.69
N Rana,1,54,10.8
N Thushara,8,169,8.89
N Wadhera,0,22,7.76
NA Saini,0,34,17.0
ND Doshi,0,47,11.75
NLTC Perera,4,127,7.94
NM Coulter-Nile,7,140,7.37
NT Ellis,5,168,8.4
Naman Dhir,0,76,8.77
Navdeep Saini,6,174,11.6
Naveen-ul-Haq,8,202,11.33
Nithish Kumar Reddy,2,89,9.89
Noor Ahmad,4,168,9.88
O Thomas,5,79,7.9
OC McCoy,6,122,7.55
OF Smith,6,126,11.45
P Amarnath,6,194,10.78
P Awana,5,170,10.3
P Dubey,2,111,8.54
P Kumar,1,107,10.7
P Negi,4,138,9.74
P Parameswaran,3,30,10.0
P Ray Barman,0,56,14.0
P Sahu,2,80,8.42
P Suyal,2,151,9.44
PC Valthaty,2,103,8.58
PD Collingwood,4,78,6.59
PH Solanki,2,38,6.33
PHKD Mendis,2,60,8.57
PJ Cummins,7,146,8.11
PJ Sangwan,3,101,7.77
PP Chawla,9,128,7.53
PP Hinge,4,34,8.5
PP Ojha,1,149,8.76
PV Tambe,2,151,8.88
PVD Chameera,3,173,12.36
PVSN Raju,1,53,13.25
PWA Mulder,0,16,16.0
PWH de Silva,2,164,8.63
Pankaj Singh,7,133,7.39
Parvez Rasool,2,123,7.69
Prince Yadav,9,164,9.11
R Ashwin,4,163,9.06
R Bhatia,3,133,8.31
R Dhawan,1,95,9.5
R Goyal,0,33,8.25
R McLaren,5,189,11.12
R Ninan,2,31,10.33
R Parag,4,89,8.9
R Powell,1,35,11.67
R Rampaul,4,101,6.31
R Ravindra,0,7,3.5
R Sai Kishore,7,180,10.59
R Sanjay Yadav,0,23,11.5
R Sathish,0,90,12.86
R Sharma,1,65,10.83
R Shepherd,4,149,13.34
R Shukla,4,150,10.71
R Tewatia,0,45,8.71
R Vinay Kumar,6,168,11.33
